industry,date,layoff_events,initial_claims
Professional & Business Services,2006-11-30,10.0,1047.0
Other Services,2006-11-30,0.0,0.0
Agricultural Services,2006-10-31,0.0,0.0
Mining,2006-10-31,0.0,0.0
Construction,2006-10-31,3.0,189.0
Manufacturing,2006-10-31,15.0,3928.0
"Transportation, Warehousing, Utilities",2006-10-31,4.0,238.0
Information,2006-10-31,0.0,0.0
Financial Activities,2006-10-31,0.0,0.0
Professional & Business Services,2006-10-31,9.0,602.0
Educational and Health Services,2006-10-31,0.0,0.0
Other Services,2006-10-31,0.0,0.0
Agricultural Services,2006-09-30,0.0,0.0
Mining,2006-09-30,0.0,0.0
Construction,2006-09-30,8.0,630.0
Manufacturing,2006-09-30,14.0,1328.0
Financial Activities,2006-09-30,0.0,0.0
Professional & Business Services,2006-09-30,3.0,328.0
Educational and Health Services,2006-09-30,0.0,0.0
Leisure and Hospitality,2006-09-30,3.0,252.0
Agricultural Services,2006-08-31,0.0,0.0
Mining,2006-08-31,0.0,0.0
Manufacturing,2006-08-31,12.0,1105.0
Wholesale Trade,2006-08-31,0.0,0.0
"Transportation, Warehousing, Utilities",2006-08-31,0.0,0.0
Financial Activities,2006-08-31,0.0,0.0
Professional & Business Services,2006-08-31,3.0,257.0
Other Services,2006-08-31,0.0,0.0
Agricultural Services,2006-07-31,0.0,0.0
Manufacturing,2006-07-31,20.0,5196.0
Wholesale Trade,2006-07-31,0.0,0.0
Retail Trade,2006-07-31,6.0,491.0
"Transportation, Warehousing, Utilities",2006-07-31,4.0,261.0
Information,2006-07-31,0.0,0.0
Professional & Business Services,2006-07-31,8.0,644.0
Educational and Health Services,2006-07-31,0.0,0.0
Leisure and Hospitality,2006-07-31,0.0,0.0
Agricultural Services,2006-06-30,0.0,0.0
Mining,2006-06-30,0.0,0.0
Manufacturing,2006-06-30,18.0,3924.0
Wholesale Trade,2006-06-30,0.0,0.0
Retail Trade,2006-06-30,4.0,509.0
"Transportation, Warehousing, Utilities",2006-06-30,14.0,2201.0
Professional & Business Services,2006-06-30,9.0,705.0
Educational and Health Services,2006-06-30,3.0,294.0
Other Services,2006-06-30,4.0,352.0
Agricultural Services,2006-05-30,0.0,0.0
Mining,2006-05-30,0.0,0.0
Construction,2006-05-30,6.0,505.0
Manufacturing,2006-05-30,12.0,3118.0
Wholesale Trade,2006-05-30,0.0,0.0
"Transportation, Warehousing, Utilities",2006-05-30,3.0,393.0
Professional & Business Services,2006-05-30,6.0,822.0
Leisure and Hospitality,2006-05-30,5.0,906.0
Agricultural Services,2006-04-29,0.0,0.0
Mining,2006-04-29,0.0,0.0
Construction,2006-04-29,4.0,234.0
Manufacturing,2006-04-29,10.0,1128.0
Retail Trade,2006-04-29,3.0,286.0
Information,2006-04-29,0.0,0.0
Financial Activities,2006-04-29,0.0,0.0
Professional & Business Services,2006-04-29,4.0,527.0
Educational and Health Services,2006-04-29,0.0,0.0
Other Services,2006-04-29,0.0,0.0
Agricultural Services,2006-03-29,0.0,0.0
Mining,2006-03-29,0.0,0.0
Construction,2006-03-29,5.0,342.0
Manufacturing,2006-03-29,12.0,3756.0
Wholesale Trade,2006-03-29,0.0,0.0
Retail Trade,2006-03-29,4.0,602.0
"Transportation, Warehousing, Utilities",2006-03-29,8.0,1149.0
Professional & Business Services,2006-03-29,7.0,804.0
Leisure and Hospitality,2006-03-29,3.0,279.0
Other Services,2006-03-29,0.0,0.0
Agricultural Services,2006-02-26,0.0,0.0
Mining,2006-02-26,0.0,0.0
Construction,2006-02-26,3.0,351.0
Manufacturing,2006-02-26,16.0,1521.0
Retail Trade,2006-02-26,4.0,324.0
Information,2006-02-26,0.0,0.0
Professional & Business Services,2006-02-26,4.0,406.0
Agricultural Services,2006-01-26,0.0,0.0
Construction,2006-01-26,5.0,343.0
Manufacturing,2006-01-26,14.0,1271.0
Financial Activities,2006-01-26,0.0,0.0
Professional & Business Services,2006-01-26,9.0,734.0
Educational and Health Services,2006-01-26,0.0,0.0
Other Services,2006-01-26,0.0,0.0
Mining,2005-12-26,3.0,365.0
Construction,2005-12-26,55.0,5113.0
Manufacturing,2005-12-26,19.0,2978.0
Wholesale Trade,2005-12-26,0.0,0.0
Retail Trade,2005-12-26,7.0,739.0
"Transportation, Warehousing, Utilities",2005-12-26,7.0,2129.0
Professional & Business Services,2005-12-26,32.0,3111.0
Leisure and Hospitality,2005-12-26,8.0,1322.0
Agricultural Services,2005-11-25,0.0,0.0
Mining,2005-11-25,0.0,0.0
Construction,2005-11-25,11.0,1146.0
Manufacturing,2005-11-25,11.0,1422.0
Wholesale Trade,2005-11-25,0.0,0.0
Information,2005-11-25,0.0,0.0
Financial Activities,2005-11-25,0.0,0.0
Professional & Business Services,2005-11-25,7.0,593.0
Educational and Health Services,2005-11-25,0.0,0.0
Agricultural Services,2005-10-25,0.0,0.0
Mining,2005-10-25,0.0,0.0
Construction,2005-10-25,4.0,280.0
Manufacturing,2005-10-25,11.0,3291.0
Wholesale Trade,2005-10-25,0.0,0.0
Professional & Business Services,2005-10-25,9.0,773.0
Educational and Health Services,2005-10-25,0.0,0.0
Agricultural Services,2005-09-24,0.0,0.0
Mining,2005-09-24,0.0,0.0
Construction,2005-09-24,5.0,325.0
Manufacturing,2005-09-24,21.0,3705.0
Retail Trade,2005-09-24,3.0,229.0
Information,2005-09-24,0.0,0.0
Financial Activities,2005-09-24,0.0,0.0
Professional & Business Services,2005-09-24,7.0,593.0
Educational and Health Services,2005-09-24,0.0,0.0
Other Services,2005-09-24,0.0,0.0
Agricultural Services,2005-08-24,0.0,0.0
Mining,2005-08-24,0.0,0.0
Manufacturing,2005-08-24,8.0,653.0
Wholesale Trade,2005-08-24,0.0,0.0
Retail Trade,2005-08-24,4.0,347.0
Information,2005-08-24,0.0,0.0
Financial Activities,2005-08-24,0.0,0.0
Professional & Business Services,2005-08-24,6.0,418.0
Leisure and Hospitality,2005-08-24,3.0,183.0
Agricultural Services,2005-07-24,0.0,0.0
Mining,2005-07-24,0.0,0.0
Construction,2005-07-24,4.0,304.0
Manufacturing,2005-07-24,35.0,5152.0
"Transportation, Warehousing, Utilities",2005-07-24,3.0,183.0
Information,2005-07-24,0.0,0.0
Financial Activities,2005-07-24,0.0,0.0
Professional & Business Services,2005-07-24,8.0,637.0
Educational and Health Services,2005-07-24,0.0,0.0
Leisure and Hospitality,2005-07-24,0.0,0.0
Agricultural Services,2005-06-23,0.0,0.0
Mining,2005-06-23,0.0,0.0
Construction,2005-06-23,4.0,225.0
Manufacturing,2005-06-23,10.0,1302.0
Wholesale Trade,2005-06-23,0.0,0.0
"Transportation, Warehousing, Utilities",2005-06-23,12.0,1091.0
Financial Activities,2005-06-23,0.0,0.0
Professional & Business Services,2005-06-23,8.0,695.0
Educational and Health Services,2005-06-23,4.0,331.0
Other Services,2005-06-23,4.0,323.0
Agricultural Services,2005-05-23,0.0,0.0
Mining,2005-05-23,0.0,0.0
Construction,2005-05-23,6.0,433.0
Manufacturing,2005-05-23,8.0,732.0
"Transportation, Warehousing, Utilities",2005-05-23,4.0,446.0
Information,2005-05-23,0.0,0.0
Financial Activities,2005-05-23,0.0,0.0
Professional & Business Services,2005-05-23,8.0,696.0
Leisure and Hospitality,2005-05-23,4.0,830.0
Agricultural Services,2005-04-22,0.0,0.0
Mining,2005-04-22,0.0,0.0
Construction,2005-04-22,5.0,366.0
Manufacturing,2005-04-22,19.0,3086.0
Retail Trade,2005-04-22,5.0,457.0
"Transportation, Warehousing, Utilities",2005-04-22,5.0,449.0
Financial Activities,2005-04-22,0.0,0.0
Professional & Business Services,2005-04-22,8.0,917.0
Leisure and Hospitality,2005-04-22,5.0,347.0
Agricultural Services,2005-03-22,0.0,0.0
Mining,2005-03-22,0.0,0.0
Construction,2005-03-22,3.0,196.0
Manufacturing,2005-03-22,4.0,386.0
Wholesale Trade,2005-03-22,0.0,0.0
Retail Trade,2005-03-22,3.0,250.0
"Transportation, Warehousing, Utilities",2005-03-22,3.0,395.0
Financial Activities,2005-03-22,0.0,0.0
Professional & Business Services,2005-03-22,3.0,308.0
Educational and Health Services,2005-03-22,0.0,0.0
Other Services,2005-03-22,0.0,0.0
Agricultural Services,2005-02-19,0.0,0.0
Mining,2005-02-19,0.0,0.0
Construction,2005-02-19,4.0,267.0
Manufacturing,2005-02-19,16.0,1911.0
Retail Trade,2005-02-19,3.0,250.0
Information,2005-02-19,0.0,0.0
Financial Activities,2005-02-19,0.0,0.0
Professional & Business Services,2005-02-19,13.0,1233.0
Educational and Health Services,2005-02-19,0.0,0.0
Leisure and Hospitality,2005-02-19,0.0,0.0
Other Services,2005-02-19,0.0,0.0
Construction,2005-01-19,29.0,1950.0
Manufacturing,2005-01-19,25.0,3277.0
Wholesale Trade,2005-01-19,0.0,0.0
Retail Trade,2005-01-19,7.0,636.0
"Transportation, Warehousing, Utilities",2005-01-19,3.0,370.0
Financial Activities,2005-01-19,3.0,251.0
Professional & Business Services,2005-01-19,10.0,759.0
Leisure and Hospitality,2005-01-19,6.0,689.0
Agricultural Services,2004-12-19,3.0,181.0
Construction,2004-12-19,36.0,3346.0
Manufacturing,2004-12-19,16.0,1742.0
Wholesale Trade,2004-12-19,0.0,0.0
"Transportation, Warehousing, Utilities",2004-12-19,8.0,1650.0
Professional & Business Services,2004-12-19,19.0,1453.0
Leisure and Hospitality,2004-12-19,6.0,882.0
Other Services,2004-12-19,0.0,0.0
Agricultural Services,2004-11-18,0.0,0.0
Construction,2004-11-18,15.0,1270.0
Manufacturing,2004-11-18,19.0,2035.0
Retail Trade,2004-11-18,5.0,358.0
Financial Activities,2004-11-18,0.0,0.0
Professional & Business Services,2004-11-18,14.0,1730.0
Educational and Health Services,2004-11-18,0.0,0.0
Leisure and Hospitality,2004-11-18,3.0,246.0
Other Services,2004-11-18,0.0,0.0
Agricultural Services,2004-10-18,0.0,0.0
Construction,2004-10-18,8.0,661.0
Manufacturing,2004-10-18,25.0,5115.0
Information,2004-10-18,0.0,0.0
Professional & Business Services,2004-10-18,11.0,834.0
Educational and Health Services,2004-10-18,0.0,0.0
Leisure and Hospitality,2004-10-18,4.0,510.0
Agricultural Services,2004-09-17,0.0,0.0
Mining,2004-09-17,0.0,0.0
Construction,2004-09-17,3.0,188.0
Manufacturing,2004-09-17,7.0,1106.0
Information,2004-09-17,0.0,0.0
Professional & Business Services,2004-09-17,5.0,320.0
Other Services,2004-09-17,0.0,0.0
Agricultural Services,2004-08-17,0.0,0.0
Mining,2004-08-17,0.0,0.0
Manufacturing,2004-08-17,13.0,1167.0
Wholesale Trade,2004-08-17,0.0,0.0
Retail Trade,2004-08-17,3.0,289.0
Professional & Business Services,2004-08-17,4.0,370.0
Leisure and Hospitality,2004-08-17,0.0,0.0
Other Services,2004-08-17,0.0,0.0
Agricultural Services,2004-07-17,0.0,0.0
Mining,2004-07-17,0.0,0.0
Construction,2004-07-17,9.0,670.0
Manufacturing,2004-07-17,34.0,5858.0
Wholesale Trade,2004-07-17,3.0,170.0
"Transportation, Warehousing, Utilities",2004-07-17,4.0,261.0
Information,2004-07-17,0.0,0.0
Financial Activities,2004-07-17,0.0,0.0
Professional & Business Services,2004-07-17,10.0,892.0
Leisure and Hospitality,2004-07-17,3.0,183.0
Other Services,2004-07-17,0.0,0.0
Agricultural Services,2004-06-16,0.0,0.0
Mining,2004-06-16,0.0,0.0
Construction,2004-06-16,4.0,261.0
Manufacturing,2004-06-16,12.0,2004.0
Wholesale Trade,2004-06-16,0.0,0.0
Retail Trade,2004-06-16,4.0,278.0
"Transportation, Warehousing, Utilities",2004-06-16,9.0,1254.0
Professional & Business Services,2004-06-16,8.0,584.0
Educational and Health Services,2004-06-16,5.0,374.0
Agricultural Services,2004-05-16,0.0,0.0
Mining,2004-05-16,0.0,0.0
Construction,2004-05-16,5.0,472.0
Manufacturing,2004-05-16,10.0,1875.0
Wholesale Trade,2004-05-16,0.0,0.0
Retail Trade,2004-05-16,4.0,406.0
"Transportation, Warehousing, Utilities",2004-05-16,5.0,452.0
Information,2004-05-16,0.0,0.0
Financial Activities,2004-05-16,0.0,0.0
Professional & Business Services,2004-05-16,7.0,600.0
Educational and Health Services,2004-05-16,3.0,195.0
Leisure and Hospitality,2004-05-16,5.0,741.0
Other Services,2004-05-16,3.0,371.0
Agricultural Services,2004-04-15,0.0,0.0
Mining,2004-04-15,0.0,0.0
Construction,2004-04-15,11.0,1143.0
Manufacturing,2004-04-15,18.0,3710.0
Retail Trade,2004-04-15,5.0,360.0
Financial Activities,2004-04-15,0.0,0.0
Professional & Business Services,2004-04-15,12.0,1411.0
Educational and Health Services,2004-04-15,3.0,0.0
Leisure and Hospitality,2004-04-15,0.0,377.0
Other Services,2004-04-15,0.0,0.0
Agricultural Services,2004-03-15,0.0,0.0
Mining,2004-03-15,0.0,0.0
Manufacturing,2004-03-15,12.0,2574.0
Retail Trade,2004-03-15,4.0,401.0
Information,2004-03-15,0.0,0.0
Financial Activities,2004-03-15,0.0,0.0
Professional & Business Services,2004-03-15,5.0,339.0
Other Services,2004-03-15,0.0,0.0
Agricultural Services,2004-02-13,0.0,0.0
Mining,2004-02-13,0.0,0.0
Construction,2004-02-13,6.0,633.0
Manufacturing,2004-02-13,16.0,1142.0
Wholesale Trade,2004-02-13,0.0,0.0
"Transportation, Warehousing, Utilities",2004-02-13,3.0,233.0
Information,2004-02-13,0.0,0.0
Professional & Business Services,2004-02-13,10.0,754.0
Agricultural Services,2004-01-13,0.0,0.0
Construction,2004-01-13,20.0,1381.0
Manufacturing,2004-01-13,32.0,4660.0
Wholesale Trade,2004-01-13,0.0,0.0
Retail Trade,2004-01-13,8.0,794.0
"Transportation, Warehousing, Utilities",2004-01-13,3.0,212.0
Professional & Business Services,2004-01-13,13.0,1341.0
Leisure and Hospitality,2004-01-13,4.0,417.0
Other Services,2004-01-13,0.0,0.0
Agricultural Services,2003-12-13,0.0,0.0
Construction,2003-12-13,39.0,3246.0
Manufacturing,2003-12-13,34.0,5787.0
Wholesale Trade,2003-12-13,3.0,183.0
"Transportation, Warehousing, Utilities",2003-12-13,7.0,1859.0
Information,2003-12-13,0.0,0.0
Financial Activities,2003-12-13,5.0,387.0
Professional & Business Services,2003-12-13,20.0,1517.0
Educational and Health Services,2003-12-13,0.0,0.0
Leisure and Hospitality,2003-12-13,8.0,1034.0
Other Services,2003-12-13,0.0,0.0
Construction,2003-11-12,15.0,1265.0
Manufacturing,2003-11-12,19.0,2305.0
Retail Trade,2003-11-12,3.0,306.0
"Transportation, Warehousing, Utilities",2003-11-12,0.0,0.0
Financial Activities,2003-11-12,0.0,0.0
Professional & Business Services,2003-11-12,10.0,1015.0
Educational and Health Services,2003-11-12,0.0,0.0
Other Services,2003-11-12,0.0,0.0
Agricultural Services,2003-10-12,0.0,0.0
Mining,2003-10-12,0.0,0.0
Construction,2003-10-12,15.0,1240.0
Manufacturing,2003-10-12,27.0,3670.0
"Transportation, Warehousing, Utilities",2003-10-12,4.0,243.0
Information,2003-10-12,0.0,0.0
Financial Activities,2003-10-12,3.0,197.0
Professional & Business Services,2003-10-12,16.0,1678.0
Agricultural Services,2003-09-11,0.0,0.0
Mining,2003-09-11,0.0,0.0
Construction,2003-09-11,9.0,630.0
Manufacturing,2003-09-11,20.0,2721.0
Wholesale Trade,2003-09-11,0.0,0.0
Retail Trade,2003-09-11,3.0,409.0
Information,2003-09-11,0.0,0.0
Professional & Business Services,2003-09-11,3.0,275.0
Educational and Health Services,2003-09-11,0.0,0.0
Leisure and Hospitality,2003-09-11,0.0,0.0
Other Services,2003-09-11,0.0,0.0
Agricultural Services,2003-08-11,0.0,0.0
Mining,2003-08-11,0.0,0.0
Manufacturing,2003-08-11,21.0,4934.0
Retail Trade,2003-08-11,7.0,974.0
"Transportation, Warehousing, Utilities",2003-08-11,8.0,792.0
Information,2003-08-11,0.0,0.0
Professional & Business Services,2003-08-11,4.0,305.0
Educational and Health Services,2003-08-11,0.0,0.0
Leisure and Hospitality,2003-08-11,3.0,262.0
Other Services,2003-08-11,0.0,0.0
Agricultural Services,2003-07-11,0.0,0.0
Mining,2003-07-11,0.0,0.0
Construction,2003-07-11,5.0,330.0
Manufacturing,2003-07-11,40.0,7232.0
Wholesale Trade,2003-07-11,3.0,191.0
Retail Trade,2003-07-11,4.0,335.0
"Transportation, Warehousing, Utilities",2003-07-11,5.0,546.0
Professional & Business Services,2003-07-11,13.0,1075.0
Educational and Health Services,2003-07-11,3.0,223.0
Leisure and Hospitality,2003-07-11,3.0,337.0
Agricultural Services,2003-06-10,0.0,0.0
Mining,2003-06-10,0.0,0.0
Construction,2003-06-10,5.0,318.0
Manufacturing,2003-06-10,10.0,746.0
Wholesale Trade,2003-06-10,0.0,0.0
"Transportation, Warehousing, Utilities",2003-06-10,8.0,528.0
Educational and Health Services,2003-06-10,5.0,596.0
Agricultural Services,2003-05-10,0.0,0.0
Mining,2003-05-10,0.0,0.0
Construction,2003-05-10,7.0,543.0
Manufacturing,2003-05-10,28.0,5217.0
Retail Trade,2003-05-10,4.0,371.0
"Transportation, Warehousing, Utilities",2003-05-10,5.0,690.0
Professional & Business Services,2003-05-10,11.0,959.0
Educational and Health Services,2003-05-10,0.0,0.0
Leisure and Hospitality,2003-05-10,4.0,595.0
Agricultural Services,2003-04-09,0.0,0.0
Mining,2003-04-09,0.0,0.0
Construction,2003-04-09,6.0,445.0
Manufacturing,2003-04-09,23.0,3024.0
Retail Trade,2003-04-09,8.0,632.0
"Transportation, Warehousing, Utilities",2003-04-09,2.0,235.0
Professional & Business Services,2003-04-09,11.0,1205.0
Leisure and Hospitality,2003-04-09,3.0,332.0
Agricultural Services,2003-03-09,0.0,0.0
Mining,2003-03-09,0.0,0.0
Construction,2003-03-09,5.0,281.0
Manufacturing,2003-03-09,11.0,1270.0
Wholesale Trade,2003-03-09,0.0,0.0
"Transportation, Warehousing, Utilities",2003-03-09,4.0,286.0
Professional & Business Services,2003-03-09,6.0,459.0
Other Services,2003-03-09,0.0,0.0
Agricultural Services,2003-02-06,0.0,0.0
Mining,2003-02-06,0.0,0.0
Construction,2003-02-06,8.0,574.0
Manufacturing,2003-02-06,18.0,2041.0
Wholesale Trade,2003-02-06,0.0,0.0
Retail Trade,2003-02-06,3.0,273.0
"Transportation, Warehousing, Utilities",2003-02-06,0.0,0.0
Professional & Business Services,2003-02-06,11.0,1697.0
Leisure and Hospitality,2003-02-06,0.0,0.0
Other Services,2003-02-06,0.0,0.0
Agricultural Services,2003-01-06,0.0,0.0
Mining,2003-01-06,0.0,0.0
Construction,2003-01-06,20.0,1451.0
Manufacturing,2003-01-06,30.0,2873.0
Retail Trade,2003-01-06,11.0,1163.0
"Transportation, Warehousing, Utilities",2003-01-06,8.0,1114.0
Professional & Business Services,2003-01-06,8.0,785.0
Leisure and Hospitality,2003-01-06,0.0,0.0
Construction,2002-12-06,43.0,3685.0
Manufacturing,2002-12-06,37.0,7285.0
Retail Trade,2002-12-06,5.0,482.0
"Transportation, Warehousing, Utilities",2002-12-06,4.0,1419.0
Financial Activities,2002-12-06,0.0,0.0
Professional & Business Services,2002-12-06,20.0,1548.0
Educational and Health Services,2002-12-06,0.0,0.0
Mining,2002-11-05,0.0,0.0
Construction,2002-11-05,29.0,3263.0
Manufacturing,2002-11-05,41.0,6162.0
"Transportation, Warehousing, Utilities",2002-11-05,3.0,267.0
Information,2002-11-05,3.0,420.0
Financial Activities,2002-11-05,0.0,0.0
Professional & Business Services,2002-11-05,16.0,2517.0
Leisure and Hospitality,2002-11-05,5.0,299.0
Other Services,2002-11-05,0.0,0.0
Agricultural Services,2002-10-05,0.0,0.0
Mining,2002-10-05,0.0,0.0
Construction,2002-10-05,4.0,458.0
Manufacturing,2002-10-05,26.0,4870.0
Retail Trade,2002-10-05,5.0,590.0
Financial Activities,2002-10-05,0.0,0.0
Professional & Business Services,2002-10-05,12.0,1462.0
Other Services,2002-10-05,0.0,0.0
Agricultural Services,2002-09-04,0.0,0.0
Mining,2002-09-04,0.0,0.0
Construction,2002-09-04,5.0,463.0
Manufacturing,2002-09-04,16.0,2685.0
"Transportation, Warehousing, Utilities",2002-09-04,3.0,1272.0
Professional & Business Services,2002-09-04,5.0,953.0
Leisure and Hospitality,2002-09-04,0.0,0.0
Agricultural Services,2002-08-04,0.0,0.0
Mining,2002-08-04,0.0,0.0
Manufacturing,2002-08-04,26.0,3752.0
Wholesale Trade,2002-08-04,0.0,0.0
Retail Trade,2002-08-04,5.0,410.0
Financial Activities,2002-08-04,0.0,0.0
Professional & Business Services,2002-08-04,6.0,613.0
Agricultural Services,2002-07-04,0.0,0.0
Construction,2002-07-04,3.0,219.0
Manufacturing,2002-07-04,32.0,6043.0
Wholesale Trade,2002-07-04,3.0,367.0
"Transportation, Warehousing, Utilities",2002-07-04,0.0,0.0
Information,2002-07-04,3.0,413.0
Financial Activities,2002-07-04,4.0,330.0
Professional & Business Services,2002-07-04,9.0,829.0
Educational and Health Services,2002-07-04,3.0,217.0
Leisure and Hospitality,2002-07-04,0.0,0.0
Other Services,2002-07-04,0.0,0.0
Agricultural Services,2002-06-03,0.0,0.0
Mining,2002-06-03,0.0,0.0
Construction,2002-06-03,6.0,533.0
Manufacturing,2002-06-03,16.0,2235.0
Wholesale Trade,2002-06-03,0.0,0.0
Retail Trade,2002-06-03,3.0,250.0
"Transportation, Warehousing, Utilities",2002-06-03,7.0,565.0
Professional & Business Services,2002-06-03,6.0,647.0
Educational and Health Services,2002-06-03,7.0,597.0
Other Services,2002-06-03,3.0,426.0
Agricultural Services,2002-05-03,0.0,0.0
Mining,2002-05-03,0.0,0.0
Construction,2002-05-03,12.0,1113.0
Manufacturing,2002-05-03,17.0,2469.0
Wholesale Trade,2002-05-03,5.0,490.0
Retail Trade,2002-05-03,4.0,327.0
"Transportation, Warehousing, Utilities",2002-05-03,7.0,1906.0
Information,2002-05-03,0.0,0.0
Professional & Business Services,2002-05-03,8.0,1427.0
Educational and Health Services,2002-05-03,3.0,250.0
Leisure and Hospitality,2002-05-03,3.0,1254.0
Agricultural Services,2002-04-02,0.0,0.0
Mining,2002-04-02,0.0,0.0
Construction,2002-04-02,6.0,607.0
Manufacturing,2002-04-02,22.0,3772.0
Retail Trade,2002-04-02,5.0,523.0
"Transportation, Warehousing, Utilities",2002-04-02,0.0,0.0
Information,2002-04-02,3.0,508.0
Professional & Business Services,2002-04-02,13.0,2240.0
Agricultural Services,2002-03-02,0.0,0.0
Mining,2002-03-02,0.0,0.0
Manufacturing,2002-03-02,22.0,3800.0
Wholesale Trade,2002-03-02,0.0,0.0
Retail Trade,2002-03-02,5.0,568.0
"Transportation, Warehousing, Utilities",2002-03-02,5.0,760.0
Professional & Business Services,2002-03-02,11.0,1217.0
Educational and Health Services,2002-03-02,0.0,0.0
Leisure and Hospitality,2002-03-02,4.0,309.0
Agricultural Services,2002-02-02,0.0,0.0
Construction,2002-02-02,6.0,514.0
Manufacturing,2002-02-02,24.0,6421.0
Wholesale Trade,2002-02-02,4.0,302.0
Retail Trade,2002-02-02,6.0,703.0
Financial Activities,2002-02-02,3.0,258.0
Professional & Business Services,2002-02-02,8.0,1182.0
Mining,2002-01-02,0.0,0.0
Construction,2002-01-02,11.0,884.0
Manufacturing,2002-01-02,42.0,7555.0
Retail Trade,2002-01-02,7.0,1265.0
"Transportation, Warehousing, Utilities",2002-01-02,4.0,343.0
Financial Activities,2002-01-02,4.0,400.0
Professional & Business Services,2002-01-02,12.0,1534.0
Educational and Health Services,2002-01-02,0.0,0.0
Other Services,2002-01-02,0.0,0.0
